year,station_number,url,exists,downloaded,not_zip_file,city
2022,3667,https://www.bast.de/videos/2022/zst3667.zip,True,True,True,berlin
2022,5053,https://www.bast.de/videos/2022/zst5053.zip,True,True,True,cologne
2022,5049,https://www.bast.de/videos/2022/zst5049.zip,True,True,True,cologne
2022,5021,https://www.bast.de/videos/2022/zst5021.zip,True,True,True,cologne
2022,3602,https://www.bast.de/videos/2022/zst3602.zip,True,True,True,berlin
2022,5004,https://www.bast.de/videos/2022/zst5004.zip,True,True,False,cologne
2022,5065,https://www.bast.de/videos/2022/zst5065.zip,True,True,False,duesseldorf
2022,5673,https://www.bast.de/videos/2022/zst5673.zip,True,True,True,cologne
2022,5048,https://www.bast.de/videos/2022/zst5048.zip,True,True,False,cologne
2022,5655,https://www.bast.de/videos/2022/zst5655.zip,True,True,True,duesseldorf
2022,5672,https://www.bast.de/videos/2022/zst5672.zip,True,True,True,cologne
2021,5262,https://www.bast.de/videos/2021/zst5262.zip,True,True,False,duesseldorf
2022,5010,https://www.bast.de/videos/2022/zst5010.zip,True,True,True,cologne
2022,5032,https://www.bast.de/videos/2022/zst5032.zip,True,True,True,cologne
2021,3625,https://www.bast.de/videos/2021/zst3625.zip,True,True,False,berlin
2021,2066,https://www.bast.de/videos/2021/zst2066.zip,True,True,False,berlin
2021,3718,https://www.bast.de/videos/2021/zst3718.zip,True,True,False,berlin
2021,2063,https://www.bast.de/videos/2021/zst2063.zip,True,True,False,berlin
2021,2062,https://www.bast.de/videos/2021/zst2062.zip,True,True,False,berlin
2021,3717,https://www.bast.de/videos/2021/zst3717.zip,True,True,True,berlin
2021,2065,https://www.bast.de/videos/2021/zst2065.zip,True,True,False,berlin
2021,5031,https://www.bast.de/videos/2021/zst5031.zip,True,True,True,duesseldorf
2021,3632,https://www.bast.de/videos/2021/zst3632.zip,True,True,False,berlin
2021,2064,https://www.bast.de/videos/2021/zst2064.zip,True,True,False,berlin
2021,2061,https://www.bast.de/videos/2021/zst2061.zip,True,True,False,berlin
2021,2002,https://www.bast.de/videos/2021/zst2002.zip,True,True,False,berlin
2021,5036,https://www.bast.de/videos/2021/zst5036.zip,True,True,False,cologne
2021,5086,https://www.bast.de/videos/2021/zst5086.zip,True,True,True,cologne
2021,2013,https://www.bast.de/videos/2021/zst2013.zip,True,True,False,berlin
2021,3615,https://www.bast.de/videos/2021/zst3615.zip,True,True,True,berlin
2021,2012,https://www.bast.de/videos/2021/zst2012.zip,True,True,False,berlin
2021,2008,https://www.bast.de/videos/2021/zst2008.zip,True,True,False,berlin
2021,2011,https://www.bast.de/videos/2021/zst2011.zip,True,True,True,berlin
2021,2010,https://www.bast.de/videos/2021/zst2010.zip,True,True,False,berlin
2021,3631,https://www.bast.de/videos/2021/zst3631.zip,True,True,True,berlin
2022,3629,https://www.bast.de/videos/2022/zst3629.zip,True,True,True,berlin
2021,2006,https://www.bast.de/videos/2021/zst2006.zip,True,True,False,berlin
2021,2014,https://www.bast.de/videos/2021/zst2014.zip,True,True,False,berlin
2021,2004,https://www.bast.de/videos/2021/zst2004.zip,True,True,True,berlin
2021,2005,https://www.bast.de/videos/2021/zst2005.zip,True,True,True,berlin
2021,2003,https://www.bast.de/videos/2021/zst2003.zip,True,True,True,berlin
2021,5089,https://www.bast.de/videos/2021/zst5089.zip,True,True,False,cologne
2021,5670,https://www.bast.de/videos/2021/zst5670.zip,True,True,False,duesseldorf
2021,5090,https://www.bast.de/videos/2021/zst5090.zip,True,True,False,duesseldorf
2021,5674,https://www.bast.de/videos/2021/zst5674.zip,True,True,False,cologne
2021,5061,https://www.bast.de/videos/2021/zst5061.zip,True,True,False,duesseldorf
2021,5601,https://www.bast.de/videos/2021/zst5601.zip,True,True,False,duesseldorf
2021,5030,https://www.bast.de/videos/2021/zst5030.zip,True,True,False,duesseldorf
2021,5014,https://www.bast.de/videos/2021/zst5014.zip,True,True,False,duesseldorf
2021,5027,https://www.bast.de/videos/2021/zst5027.zip,True,True,False,duesseldorf
2021,5040,https://www.bast.de/videos/2021/zst5040.zip,True,True,False,duesseldorf
2021,5686,https://www.bast.de/videos/2021/zst5686.zip,True,True,True,duesseldorf
2021,3606,https://www.bast.de/videos/2021/zst3606.zip,True,True,True,berlin
2021,3629,https://www.bast.de/videos/2021/zst3629.zip,True,True,True,berlin
2021,5097,https://www.bast.de/videos/2021/zst5097.zip,True,True,True,duesseldorf
2021,3667,https://www.bast.de/videos/2021/zst3667.zip,True,True,True,berlin
2021,5049,https://www.bast.de/videos/2021/zst5049.zip,True,True,False,cologne
2021,5021,https://www.bast.de/videos/2021/zst5021.zip,True,True,False,cologne
2021,5004,https://www.bast.de/videos/2021/zst5004.zip,True,True,False,cologne
2021,3602,https://www.bast.de/videos/2021/zst3602.zip,True,True,True,berlin
2021,5065,https://www.bast.de/videos/2021/zst5065.zip,True,True,False,duesseldorf
2021,5053,https://www.bast.de/videos/2021/zst5053.zip,True,True,True,cologne
2021,5673,https://www.bast.de/videos/2021/zst5673.zip,True,True,False,cologne
2021,5672,https://www.bast.de/videos/2021/zst5672.zip,True,True,False,cologne
2021,5655,https://www.bast.de/videos/2021/zst5655.zip,True,True,True,duesseldorf
2021,5048,https://www.bast.de/videos/2021/zst5048.zip,True,True,False,cologne
2020,5262,https://www.bast.de/videos/2020/zst5262.zip,True,True,False,duesseldorf
2020,3625,https://www.bast.de/videos/2020/zst3625.zip,True,True,False,berlin
2021,5010,https://www.bast.de/videos/2021/zst5010.zip,True,True,False,cologne
2020,2066,https://www.bast.de/videos/2020/zst2066.zip,True,True,False,berlin
2020,3718,https://www.bast.de/videos/2020/zst3718.zip,True,True,False,berlin
2021,5032,https://www.bast.de/videos/2021/zst5032.zip,True,True,True,cologne
2020,2063,https://www.bast.de/videos/2020/zst2063.zip,True,True,False,berlin
2020,2062,https://www.bast.de/videos/2020/zst2062.zip,True,True,False,berlin
2020,2065,https://www.bast.de/videos/2020/zst2065.zip,True,True,False,berlin
2020,3632,https://www.bast.de/videos/2020/zst3632.zip,True,True,False,berlin
2020,5031,https://www.bast.de/videos/2020/zst5031.zip,True,True,True,duesseldorf
2020,2061,https://www.bast.de/videos/2020/zst2061.zip,True,True,False,berlin
2020,3717,https://www.bast.de/videos/2020/zst3717.zip,True,True,True,berlin
2020,2064,https://www.bast.de/videos/2020/zst2064.zip,True,True,False,berlin
2020,5036,https://www.bast.de/videos/2020/zst5036.zip,True,True,False,cologne
2020,2002,https://www.bast.de/videos/2020/zst2002.zip,True,True,False,berlin
2020,2011,https://www.bast.de/videos/2020/zst2011.zip,True,True,False,berlin
2020,2013,https://www.bast.de/videos/2020/zst2013.zip,True,True,False,berlin
2020,3615,https://www.bast.de/videos/2020/zst3615.zip,True,True,True,berlin
2020,2012,https://www.bast.de/videos/2020/zst2012.zip,True,True,False,berlin
2020,2008,https://www.bast.de/videos/2020/zst2008.zip,True,True,False,berlin
2020,2010,https://www.bast.de/videos/2020/zst2010.zip,True,True,False,berlin
2020,3631,https://www.bast.de/videos/2020/zst3631.zip,True,True,True,berlin
2020,2005,https://www.bast.de/videos/2020/zst2005.zip,True,True,True,berlin
2020,2006,https://www.bast.de/videos/2020/zst2006.zip,True,True,False,berlin
2020,2003,https://www.bast.de/videos/2020/zst2003.zip,True,True,True,berlin
2020,5090,https://www.bast.de/videos/2020/zst5090.zip,True,True,False,duesseldorf
2020,2014,https://www.bast.de/videos/2020/zst2014.zip,True,True,False,berlin
2020,2004,https://www.bast.de/videos/2020/zst2004.zip,True,True,True,berlin
2020,5674,https://www.bast.de/videos/2020/zst5674.zip,True,True,False,cologne
2020,5061,https://www.bast.de/videos/2020/zst5061.zip,True,True,False,duesseldorf
2020,5601,https://www.bast.de/videos/2020/zst5601.zip,True,True,False,duesseldorf
2020,5670,https://www.bast.de/videos/2020/zst5670.zip,True,True,False,duesseldorf
2020,5014,https://www.bast.de/videos/2020/zst5014.zip,True,True,False,duesseldorf
2020,5030,https://www.bast.de/videos/2020/zst5030.zip,True,True,False,duesseldorf
2020,5027,https://www.bast.de/videos/2020/zst5027.zip,True,True,False,duesseldorf
2020,5040,https://www.bast.de/videos/2020/zst5040.zip,True,True,False,duesseldorf
2020,5686,https://www.bast.de/videos/2020/zst5686.zip,True,True,True,duesseldorf
2020,5097,https://www.bast.de/videos/2020/zst5097.zip,True,True,True,duesseldorf
2020,3629,https://www.bast.de/videos/2020/zst3629.zip,True,True,True,berlin
2020,3606,https://www.bast.de/videos/2020/zst3606.zip,True,True,True,berlin
2020,3667,https://www.bast.de/videos/2020/zst3667.zip,True,True,True,berlin
2020,5053,https://www.bast.de/videos/2020/zst5053.zip,True,True,False,cologne
2020,5049,https://www.bast.de/videos/2020/zst5049.zip,True,True,False,cologne
2020,5021,https://www.bast.de/videos/2020/zst5021.zip,True,True,False,cologne
2020,5004,https://www.bast.de/videos/2020/zst5004.zip,True,True,False,cologne
2020,3602,https://www.bast.de/videos/2020/zst3602.zip,True,True,True,berlin
2020,5065,https://www.bast.de/videos/2020/zst5065.zip,True,True,False,duesseldorf
2020,5673,https://www.bast.de/videos/2020/zst5673.zip,True,True,False,cologne
2020,5048,https://www.bast.de/videos/2020/zst5048.zip,True,True,False,cologne
2020,5672,https://www.bast.de/videos/2020/zst5672.zip,True,True,False,cologne
2020,5655,https://www.bast.de/videos/2020/zst5655.zip,True,True,True,duesseldorf
2020,5010,https://www.bast.de/videos/2020/zst5010.zip,True,True,False,cologne
2019,5262,https://www.bast.de/videos/2019/zst5262.zip,True,True,False,duesseldorf
2019,3625,https://www.bast.de/videos/2019/zst3625.zip,True,True,False,berlin
2019,2066,https://www.bast.de/videos/2019/zst2066.zip,True,True,False,berlin
2020,5032,https://www.bast.de/videos/2020/zst5032.zip,True,True,True,cologne
